hervID,avg_tumor,avg_normal,logFC,pvalue,threshold
herv_3919,0.0054607044387898,0,10,1.79444387029482e-49,Up
herv_4227,0.00899683679438682,0,10,1.22159453566286e-64,Up
herv_4370,0.00103897919261721,0,10,9.71561320446476e-15,Up
herv_5080,0.000627838279187859,0,10,1.16734469444369e-14,Up
herv_5146,0.000229509447405696,0,10,2.93669846629861e-07,None
herv_5222,0.00025497501338298,0,10,4.4544782661669e-05,None
herv_815,0.000153541960745396,0,10,4.67769716460521e-12,Up
herv_5600,0.0409817352802401,0.000400931666666667,6.67548089318074,3.93525653335812e-21,Up
herv_3786,0.0180878425622008,0.000211703443820225,6.41683179158543,4.72341384204794e-128,Up
herv_2498,0.00320237869434938,4.01993913857678e-05,6.31582645296316,1.02441440379809e-13,Up
herv_4417,0.121777841998088,0.00222668835018727,5.77320819130275,2.53787551910087e-83,Up
herv_2735,0.00381365999704284,7.54579026217228e-05,5.65936041665561,5.27486377964766e-26,Up
herv_3495,0.0298302553680855,0.000603403370786517,5.62750976216999,5.0992874279505e-88,Up
herv_566,0.0286076210580408,0.000587122483146067,5.60659421731672,5.52178916353838e-77,Up
herv_5838,0.0185347540415174,0.000454754284644195,5.34900192946416,2.13211435474999e-104,Up
herv_5098,0.0065387411737982,0.000165959299625468,5.30011153846262,1.67311132861785e-46,Up
herv_4039,0.0737657164201466,0.00189338432397004,5.28391127290335,7.23573319498191e-96,Up
herv_1180,0.0407372203577441,0.00104706442134831,5.28192543065838,1.09755315974866e-66,Up
herv_4232,0.00902753586055251,0.000249140219101124,5.17930240403538,1.27192074529355e-42,Up
herv_3173,0.0038360695143556,0.000114433518726592,5.06704726503059,3.64454763211019e-32,Up
herv_3209,0.11835802758542,0.00354803651872659,5.05999289049211,7.10936910314835e-111,Up
herv_1288,0.0154909219896852,0.000472152672284644,5.03602576715642,1.98577806248995e-31,Up
herv_4472,0.00125902776687358,3.99725561797753e-05,4.97715645699101,6.02389711863081e-29,Up
herv_2249,0.000689861961284842,2.23367303370787e-05,4.94881778916851,8.18834425894563e-17,Up
herv_3529,0.0230335504656106,0.000760594513108614,4.92046546822898,8.34710453850767e-53,Up
herv_2914,0.375861157252803,0.0124795792904307,4.91255862593133,1.69718688737726e-158,Up
herv_3101,0.0673892582156669,0.00224943502808989,4.90488404317911,1.30283817326852e-44,Up
herv_5062,0.029635803719631,0.00107076257116105,4.79063066353059,6.97198198984722e-54,Up
herv_1692,0.0805751263170002,0.00298167300051685,4.7561405936564,3.06661533236617e-106,Up
herv_772,0.0513271009868942,0.00191187090189139,4.74666376331844,1.46434292468411e-38,Up
herv_3931,0.00310855669656458,0.000116625606741573,4.73628840045284,6.40546773628891e-14,Up
herv_2543,0.120400572876859,0.00461608606461423,4.70502832380159,3.92948952986984e-61,Up
herv_3292,0.0161604593606846,0.000644869314606742,4.64731757489022,4.59662623833217e-158,Up
herv_6265,0.209230007753287,0.00845441180711611,4.62924158090904,8.64765422090923e-136,Up
herv_4700,0.280384640748931,0.0116009568071161,4.59509161789848,4.186239425706e-122,Up
herv_2741,0.00645892050894506,0.000270108529962547,4.57968195919543,6.53361720174555e-79,Up
herv_2565,0.133332151388151,0.0055824616011236,4.5779794775723,0,Up
herv_2323,0.129463117723123,0.00554801113445693,4.54442665902667,5.74041383483883e-283,Up
herv_588,0.0475967853057898,0.00205020972359551,4.53702073593242,2.22220427113978e-71,Up
herv_1948,0.00187048262877063,8.48357715355805e-05,4.46259404287715,2.48496847579582e-12,Up
herv_4728,0.0243119672611361,0.00110755569662921,4.45621548142522,4.79432055077603e-85,Up
herv_3587,0.113054642922108,0.00516481999625468,4.4521583622889,6.74335705362448e-143,Up
herv_4006,0.0976621413781154,0.00448114011235955,4.44586167018332,1.07303706962479e-73,Up
herv_2867,0.101963973548399,0.00471785042409738,4.43378601160325,5.64535297268673e-113,Up
herv_1624,0.0372145588137895,0.00173667327434457,4.4214688665499,1.85944475282026e-110,Up
herv_1090,0.0083225867544987,0.000392748558052434,4.40535412017913,2.34426808526767e-68,Up
herv_1999,0.397704972253528,0.0188058207322097,4.40244742373866,3.07765983306026e-122,Up
herv_6193,0.0358112285902077,0.00172952469850187,4.37196449322842,1.13744911526954e-53,Up
herv_4525,0.0801564958998702,0.00389377272333333,4.36357885886385,1.11949942096237e-156,Up
herv_1317,0.00432177175354987,0.000210494337078652,4.35976955476113,1.41011663616807e-42,Up
herv_1229,0.0602377830628294,0.00297718435842697,4.3386482087914,1.0251658770487e-121,Up
herv_5907,0.0946533996408849,0.00468296303332023,4.33716076899805,1.44399762305813e-76,Up
herv_2969,0.000949406505228391,4.81934456928839e-05,4.30011707656011,5.17068490889934e-25,Up
herv_1230,0.102735367751419,0.00528233121535581,4.28161435524898,5.96896932453168e-130,Up
herv_2953,0.0302595266438582,0.00158567807677903,4.25421760837496,3.26752800240831e-178,Up
herv_4218,0.0208324275478937,0.00109348866292135,4.25182079463274,3.20433054930648e-46,Up
herv_582,0.0581857341790968,0.00306222120037453,4.24801507524072,8.5061466241588e-73,Up
herv_3185,0.0196648377170482,0.0010381328258427,4.24355533164255,2.32367777616145e-16,Up
herv_2263,0.1084334869759,0.00575214528432584,4.23656644064461,9.6234499726156e-52,Up
herv_4547,0.133662043731736,0.00709160283378277,4.23633428831238,1.12354577683224e-166,Up
herv_1926,0.0215238451118562,0.00115067628807303,4.22538189805125,6.82308564320448e-78,Up
herv_3914,0.0902991264078821,0.00483567377340824,4.22292320534552,1.47874839005776e-113,Up
herv_1757,0.0654682206149052,0.00351697889513109,4.21838618521191,4.96904887746651e-63,Up
herv_4585,0.20285788639158,0.0109022396535581,4.21777294621644,1.09830193483317e-142,Up
herv_2582,0.227908230078386,0.0122868185786517,4.21326971054922,3.02806930811849e-309,Up
herv_1953,0.000720421531795321,3.90512172284644e-05,4.20540187777076,2.06473457224267e-15,Up
herv_6192,0.0423187305174616,0.00231804103183521,4.19031834100911,1.52896156198164e-54,Up
herv_5320,0.0224697413573927,0.00124883056741573,4.16933385759649,1.97514096950124e-191,Up
