818274b6-5103-4689-9d71-7dbff7ea62d6,37360ffa-7634-4e12-87e1-cd1b50b2b0e3_gdc_realn_rehead.bam,f35972de92a4a2dfd9d13f928851c519,9393591850,validated,Sequencing Reads,Aligned Reads,TCGA-COAD,TCGA-A6-2686,TCGA-A6-2686-11A,Solid Tissue Normal
da61c732-293d-41aa-821c-caba4b248276,c86ce289-ae34-496a-8857-24daad38dcd9_gdc_realn_rehead.bam,6eadb95b8b49a790ad7017a23b085c10,6908701839,validated,Sequencing Reads,Aligned Reads,TCGA-COAD,TCGA-A6-5662,TCGA-A6-5662-01A,Primary Tumor
891d4b89-492a-4fdf-aadb-92e5f3eb2175,4fc3df78-d758-4926-b501-0edbf5e7ddb7_gdc_realn_rehead.bam,1e166be64ba0c53fdded79ecdf22a00b,6343069117,validated,Sequencing Reads,Aligned Reads,TCGA-COAD,TCGA-A6-5662,TCGA-A6-5662-11A,Solid Tissue Normal
7d10f16e-737a-4351-ab41-9e9794b92785,aa4797b8-11ca-49ba-82bb-317922290105_gdc_realn_rehead.bam,6fbcbe503180a014c9896a5c4c4f3742,6220685281,validated,Sequencing Reads,Aligned Reads,TCGA-COAD,TCGA-A6-5667,TCGA-A6-5667-01A,Primary Tumor
d1f1002d-525b-4b8b-b52f-376bf792d74e,7dadfb04-1d05-43fe-80b9-f767e22d02f5_gdc_realn_rehead.bam,10db446c27fd779edbcc2bae0b617f00,7235021266,validated,Sequencing Reads,Aligned Reads,TCGA-COAD,TCGA-A6-5667,TCGA-A6-5667-11A,Solid Tissue Normal
611afd21-d36c-4bcd-8de1-45d63c1d449d,36f3c945-3cfe-4e6f-b066-9f17407fbf25_gdc_realn_rehead.bam,4dc2cee41bacb0d1e4dcc48c4a7b60d3,8879864392,validated,Sequencing Reads,Aligned Reads,TCGA-COAD,TCGA-AA-3489,TCGA-AA-3489-01A,Primary Tumor
7219d9a8-634e-471b-82dd-9316b7b28ff2,e1db5452-12aa-41eb-9eba-dc47a3d02050_gdc_realn_rehead.bam,4da7b2f119733c159762c5eff45716c2,5899688716,validated,Sequencing Reads,Aligned Reads,TCGA-COAD,TCGA-AA-3489,TCGA-AA-3489-11A,Solid Tissue Normal
bf18b4eb-ff17-4632-a0ca-9a1c0f002156,f36571b4-f963-49ba-a6d1-203438b8c303_gdc_realn_rehead.bam,24dc7beff9ffaeb013c9ae01a516aca0,8617168311,validated,Sequencing Reads,Aligned Reads,TCGA-COAD,TCGA-AA-3496,TCGA-AA-3496-01A,Primary Tumor
e3adceb2-6d55-4812-b972-e46d843cb261,32cdccd5-d3f9-4bef-96ac-c75af344c374_gdc_realn_rehead.bam,435eb2ce874c2a91674ce0e738b0eb01,4130960545,validated,Sequencing Reads,Aligned Reads,TCGA-COAD,TCGA-AA-3496,TCGA-AA-3496-11A,Solid Tissue Normal
24dc3d9d-9011-4752-bf86-7308f89fd27d,d9c13cd3-73c0-4c6d-bb27-23a7e44ccbc5_gdc_realn_rehead.bam,4e121bdf185745fce18868a60eb15c0c,7455439480,validated,Sequencing Reads,Aligned Reads,TCGA-COAD,TCGA-AA-3511,TCGA-AA-3511-01A,Primary Tumor
c77b629b-ae40-450e-8154-f4fc0b6bb6e3,9c14c924-9f40-4996-a8ef-b32a343c48d5_gdc_realn_rehead.bam,c8dd20a5e9f6ff7930120f8b0b14720e,8047715439,validated,Sequencing Reads,Aligned Reads,TCGA-COAD,TCGA-AA-3511,TCGA-AA-3511-11A,Solid Tissue Normal
5dfd07db-48b5-4e2a-8079-9ff267002b6a,a01183fb-bf69-41f3-9762-04c81c173366_gdc_realn_rehead.bam,4558d754ededb2bb59b10895d39c07c5,1983951118,validated,Sequencing Reads,Aligned Reads,TCGA-COAD,TCGA-AA-3514,TCGA-AA-3514-01A,Primary Tumor
7adde6fc-7b62-4f26-b327-d225b429823a,9e194ea8-2642-4ee2-9e24-8fb56d611e0a_gdc_realn_rehead.bam,6d9dda6d34e7d9a9fceffcc5d6e708b9,7900377084,validated,Sequencing Reads,Aligned Reads,TCGA-COAD,TCGA-AA-3514,TCGA-AA-3514-11A,Solid Tissue Normal
53654dfb-9885-413a-b5bb-49b19a6a0f8c,cb9396ed-4bb7-41e8-b5fa-d6e2f2a56f80_gdc_realn_rehead.bam,ef68c3f3d6c3b5c302aa3b8a997718bd,2099461076,validated,Sequencing Reads,Aligned Reads,TCGA-COAD,TCGA-AA-3516,TCGA-AA-3516-01A,Primary Tumor
9081de60-839a-4e20-8702-02909e90cc71,8ffeec30-05c3-475a-8de6-0efb61ce494d_gdc_realn_rehead.bam,c364664284f7cba22ab50e0e0efc8986,8958910036,validated,Sequencing Reads,Aligned Reads,TCGA-COAD,TCGA-AA-3516,TCGA-AA-3516-11A,Solid Tissue Normal
c4d62f18-52a9-4753-93c4-547bdbf0abea,0512ccd3-e4f2-4cdc-87c8-ea398b0e7b03_gdc_realn_rehead.bam,ffe33b5a6508aeed2101fca7d3979179,2691235779,validated,Sequencing Reads,Aligned Reads,TCGA-COAD,TCGA-AA-3517,TCGA-AA-3517-01A,Primary Tumor
a4d598d7-896b-495c-9e6b-fef43193f9e8,d3e07db3-ba7a-4b7b-8390-2b9d32794341_gdc_realn_rehead.bam,ee04d1cd336b00df567b412bc00b705d,10931271659,validated,Sequencing Reads,Aligned Reads,TCGA-COAD,TCGA-AA-3517,TCGA-AA-3517-11A,Solid Tissue Normal
03d5c3cb-f41c-40fd-b1e3-2c95292c59d5,a8ad5abd-1698-47e2-b1c2-a4f573e4cfae_gdc_realn_rehead.bam,ef7a4ac78cb1db5b1e3bc9b36e866bef,2669390621,validated,Sequencing Reads,Aligned Reads,TCGA-COAD,TCGA-AA-3518,TCGA-AA-3518-01A,Primary Tumor
8e3f0481-0e27-48aa-a178-9c17c78c05d1,fa7042a5-2c3c-4311-abe1-8275f5ee4e6f_gdc_realn_rehead.bam,4811d1561957663a5d6761788376d2f4,8941211096,validated,Sequencing Reads,Aligned Reads,TCGA-COAD,TCGA-AA-3518,TCGA-AA-3518-11A,Solid Tissue Normal
9d8f2b87-a61d-44db-b3e8-39a3d66e6e16,e61b548c-61a1-4d60-8e7c-9b1afbe0aafa_gdc_realn_rehead.bam,364f1abdf15dbbd01689f026ce6bcd53,2451464350,validated,Sequencing Reads,Aligned Reads,TCGA-COAD,TCGA-AA-3520,TCGA-AA-3520-01A,Primary Tumor
e7850bdc-382d-4156-98f0-210b419bf69c,b38996db-a1ba-4964-8a2e-f357e74c7b4e_gdc_realn_rehead.bam,db8c96e960cd85f324019ebeab386de6,12205706046,validated,Sequencing Reads,Aligned Reads,TCGA-COAD,TCGA-AA-3520,TCGA-AA-3520-11A,Solid Tissue Normal
